,Name,Country,Latitude,Longitude,DT,Weather,Temperature,Max. Temperature,Min. Temperature,Clouds,Wind Speed,Humidity,Pressure,Sunrise,Sunset
94,Dori,BF,14.03,-0.03,1538184154,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",73.86,73.86,73.86,68,13.78,83,991.97,1538200171,1538243471
95,Saint-Philippe,CA,45.36,-73.48,1538182800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",60.44,64.4,57.74,20,9.17,82,1015.0,1538218179,1538260675
96,Narsaq,GL,60.91,-46.05,1538182200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",39.2,39.2,39.2,0,9.17,60,1023.0,1538211931,1538253726
97,Santa Quiteria do Maranhao,BR,-3.52,-42.55,1538184154,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",86.19,86.19,86.19,0,13.0,51,1018.88,1538210197,1538253864
98,Kruisfontein,ZA,-34.0,24.73,1538184155,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",60.45,60.45,60.45,88,23.85,84,1029.99,1538193661,1538238142
99,Vila Velha,BR,-3.71,-38.6,1538182800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",80.6,80.6,80.6,20,9.17,78,1014.0,1538209247,1538252918
100,Hofn,IS,64.25,-15.21,1538184155,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",45.69,45.69,45.69,0,33.91,96,996.91,1538204629,1538246215
101,Gat,SN,14.69,-16.54,1538179200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",82.4,82.4,82.4,32,2.24,88,1010.0,1538204140,1538247424
102,Portland,US,45.52,-122.67,1538182560,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",82.85,84.92,80.06,1,9.17,32,1005.0,1538229998,1538272462
103,Makakilo City,US,21.35,-158.09,1538183700,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",83.43,86.0,78.8,90,5.82,72,1013.0,1538238186,1538281300
104,Kaunas,LT,54.9,23.9,1538182200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",39.2,39.2,39.2,0,5.82,93,1018.0,1538194961,1538237143
105,Longyearbyen,NO,78.22,15.63,1538182200,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",26.6,26.6,26.6,75,18.34,79,996.0,1538198279,1538237653
